,state,spending,year,party,vote,demRatio
218,Illinois,6558355.87,2016,Democrats,20,0.5902005139071148
219,Indiana,174010.59,2016,Democrats,11,0.3988269047549193
220,Kansas,64030.35,2016,Democrats,6,0.3888852965739333
221,Kentucky,116904.97,2016,Democrats,8,0.3432937098249013
222,Louisiana,67583.02,2016,Democrats,8,0.3982832276219221
223,Massachusetts,1127157.04,2016,Democrats,11,0.646512786896295
224,Maryland,1825508.71,2016,Democrats,10,0.6401624968476939
225,Maine,90613.08,2016,Democrats,4,0.5159679112916253
226,Michigan,551030.98,2016,Democrats,16,0.4988233178303845
227,Minnesota,674479.07,2016,Democrats,10,0.5083169370718048
228,Missouri,1028793.49,2016,Democrats,10,0.4018143900443393
229,Mississippi,85322.24,2016,Democrats,6,0.4091015267593994
230,Montana,15451.7,2016,Democrats,3,0.3889033568297556
231,North Carolina,535327.51,2016,Democrats,15,0.4809625419628128
232,North Dakota,5316.67,2016,Democrats,3,0.3019075710348025
233,Nebraska,75504.65,2016,Democrats,5,0.3645232588682243
234,New Hampshire,771982.37,2016,Democrats,4,0.501970284423807
235,New Jersey,30527066.51,2016,Democrats,14,0.5728419014290129
236,New Mexico,55245.8,2016,Democrats,5,0.5465079493432411
237,Nevada,1847185.99,2016,Democrats,6,0.512937094199852
238,New York,78235566.89,2016,Democrats,29,0.6341150649977537
239,Ohio,408732.27,2016,Democrats,18,0.4573231542286409
240,Oklahoma,232882.52,2016,Democrats,7,0.3069526276167186
241,Oregon,132120.41,2016,Democrats,7,0.5615583894505436
242,Pennsylvania,3550814.99,2016,Democrats,20,0.4962446419250984
243,Rhode Island,3491279.92,2016,Democrats,4,0.5831070409265982
244,South Carolina,761016.19,2016,Democrats,9,0.4253974363947598
245,South Dakota,29605.07,2016,Democrats,3,0.3402814192056875
246,Tennessee,402672.45,2016,Democrats,11,0.3637565695473801
247,Texas,5245322.74,2016,Democrats,38,0.4528677442202801
248,Utah,663167.17,2016,Democrats,6,0.3761710165458871
249,Virginia,7707699.38,2016,Democrats,13,0.528263762771547
250,Vermont,30345.11,2016,Democrats,3,0.6518642632382037
251,Washington,8416194.62,2016,Democrats,12,0.5878693120006476
252,Wisconsin,215077.77,2016,Democrats,10,0.4959201096197028
253,West Virginia,19930.38,2016,Democrats,5,0.2783894774870422
254,Wyoming,32859.22,2016,Democrats,3,0.2429468037084621
255,Alaska,20244.87,2016,Republican,3,0.4161434528893193
256,Alabama,480333.44,2016,Republican,9,0.3562585640603926
257,Arkansas,170702.77,2016,Republican,6,0.3571486231022953
258,Arizona,3390083.23,2016,Republican,11,0.4810997659896054
259,California,9120311.4,2016,Republican,55,0.6612822054272989
260,Colorado,2821458.1,2016,Republican,9,0.5268333337268244
261,Connecticut,1130803.43,2016,Republican,7,0.5714154751726364
262,District of Columbia,7095697.02,2016,Republican,3,0.9569518834185408
263,Delaware,277087.09,2016,Republican,3,0.5599862144368122
264,Florida,14985463.3,2016,Republican,29,0.4938116452722452
265,Georgia,2806733.65,2016,Republican,16,0.4733882740069678
266,Hawaii,15242.75,2016,Republican,4,0.6744133745053545
267,Iowa,2642951.56,2016,Republican,6,0.4493645215487965
268,Idaho,50818.39,2016,Republican,4,0.3168982331919441
269,Illinois,1345820.62,2016,Republican,20,0.5902005139071148
270,Indiana,1348388.66,2016,Republican,11,0.3988269047549193
271,Kansas,579340.71,2016,Republican,6,0.3888852965739333
272,Kentucky,857462.26,2016,Republican,8,0.3432937098249013
273,Louisiana,17121587.25,2016,Republican,8,0.3982832276219221
274,Massachusetts,2767791.09,2016,Republican,11,0.646512786896295
275,Maryland,467283.97,2016,Republican,10,0.6401624968476939
276,Maine,116729.71,2016,Republican,4,0.5159679112916253
277,Michigan,869749.73,2016,Republican,16,0.4988233178303845
278,Minnesota,91759.46,2016,Republican,10,0.5083169370718048
279,Missouri,9522826.14,2016,Republican,10,0.4018143900443393
280,Mississippi,380844.94,2016,Republican,6,0.4091015267593994
281,Montana,58173.08,2016,Republican,3,0.3889033568297556
282,North Carolina,1435016.94,2016,Republican,15,0.4809625419628128
283,North Dakota,15350.0,2016,Republican,3,0.3019075710348025
284,Nebraska,173529.48,2016,Republican,5,0.3645232588682243
285,New Hampshire,11576884.33,2016,Republican,4,0.501970284423807
286,New Jersey,19253807.78,2016,Republican,14,0.5728419014290129
287,New Mexico,183176.28,2016,Republican,5,0.5465079493432411
288,Nevada,1132280.13,2016,Republican,6,0.512937094199852
289,New York,26845432.58,2016,Republican,29,0.6341150649977537
290,Ohio,4373003.42,2016,Republican,18,0.4573231542286409
291,Oklahoma,445094.22,2016,Republican,7,0.3069526276167186
292,Oregon,242283.58,2016,Republican,7,0.5615583894505436
293,Pennsylvania,1586013.35,2016,Republican,20,0.4962446419250984
294,Rhode Island,102694.64,2016,Republican,4,0.5831070409265982
295,South Carolina,1441468.58,2016,Republican,9,0.4253974363947598
296,South Dakota,19498.55,2016,Republican,3,0.3402814192056875
297,Tennessee,992710.94,2016,Republican,11,0.3637565695473801
298,Texas,97271455.01,2016,Republican,38,0.4528677442202801
299,Utah,399495.17,2016,Republican,6,0.3761710165458871
300,Virginia,110657185.24,2016,Republican,13,0.528263762771547
301,Vermont,81467.59,2016,Republican,3,0.6518642632382037
302,Washington,1087024.67,2016,Republican,12,0.5878693120006476
303,Wisconsin,964820.58,2016,Republican,10,0.4959201096197028
304,West Virginia,91403.33,2016,Republican,5,0.2783894774870422
305,Wyoming,150833.0,2016,Republican,3,0.2429468037084621
306,Alaska,15301.5,2020,Democrats,3,0.4473815127615069
307,Alabama,1658810.99,2020,Democrats,9,0.3708862516664528
308,Arkansas,216567.06,2020,Democrats,6,0.3578756672201685
309,Arizona,668031.85,2020,Democrats,11,0.5015683167912931
310,California,66818375.85,2020,Democrats,55,0.6490891136066756
311,Colorado,668041.28,2020,Democrats,9,0.5693831949230015
312,Connecticut,430018.57,2020,Democrats,7,0.6019504908807785
313,District of Columbia,263845275.51,2020,Democrats,3,0.9446695384761944
314,Delaware,2469029.93,2020,Democrats,3,0.5962674416498447
315,Florida,4321911.25,2020,Democrats,29,0.4830524533785844
316,Georgia,449489624.19,2020,Democrats,16,0.5011932966290864
317,Hawaii,5046.73,2020,Democrats,4,0.6503266464651488
318,Iowa,7531029.79,2020,Democrats,6,0.4581673691536295
319,Idaho,17302.51,2020,Democrats,4,0.3412285707492213
320,Illinois,6854206.24,2020,Democrats,20,0.5865904373280693
321,Indiana,958746.14,2020,Democrats,11,0.4180495199255704
322,Kansas,15300.0,2020,Democrats,6,0.4250657174436865
323,Kentucky,14833.32,2020,Democrats,8,0.3679989709973703
324,Louisiana,420475.33,2020,Democrats,8,0.4053555954370895
325,Massachusetts,30291335.54,2020,Democrats,11,0.6711554954014815
326,Maryland,3017389.27,2020,Democrats,10,0.6702904704709234
327,Maine,254401.09,2020,Democrats,4,0.5467040458200397
328,Michigan,1037411.78,2020,Democrats,16,0.5141355934440947
329,Minnesota,464192.0,2020,Democrats,10,0.5363951364856667
330,Missouri,249538.34,2020,Democrats,10,0.4216417935559855
331,Mississippi,12207.25,2020,Democrats,6,0.4161501417261114
332,Montana,67750.93,2020,Democrats,3,0.4160281990795189
333,North Carolina,1289090.56,2020,Democrats,15,0.4931581746681328
334,North Dakota,2969.5,2020,Democrats,3,0.3278259157710337
335,Nebraska,19182276.14,2020,Democrats,5,0.4021594775339827
336,New Hampshire,1441845.51,2020,Democrats,4,0.5374834772159505
337,New Jersey,1998474.14,2020,Democrats,14,0.5807128358679484
338,New Mexico,12625.88,2020,Democrats,5,0.5551849015171975
339,Nevada,2049630.42,2020,Democrats,6,0.512231173400438
340,New York,80594168.68,2020,Democrats,29,0.6171683489301224
341,Ohio,778000.66,2020,Democrats,18,0.4592330235229728
342,Oklahoma,663997.45,2020,Democrats,7,0.3305996050309349
343,Oregon,463166.73,2020,Democrats,7,0.5830715698544173
344,Pennsylvania,45826922.24,2020,Democrats,20,0.5058920525934906
345,Rhode Island,2090523.53,2020,Democrats,4,0.6059935988395926
346,South Carolina,1002231.01,2020,Democrats,9,0.440733912504179
347,South Dakota,2557.33,2020,Democrats,3,0.365652201383185
348,Tennessee,1038701.46,2020,Democrats,11,0.3817222962793364
349,Texas,26176682.5,2020,Democrats,38,0.4716927876322047
350,Utah,274744.33,2020,Democrats,6,0.3930639487814836
351,Virginia,26775673.4,2020,Democrats,13,0.551546869993999
352,Vermont,3704.44,2020,Democrats,3,0.6829918655280656
353,Washington,3130644.34,2020,Democrats,12,0.599255031847907
354,Wisconsin,1650488.79,2020,Democrats,10,0.5031906326653399
355,West Virginia,2500.0,2020,Democrats,5,0.3020146768607797
356,Wyoming,2500.0,2020,Democrats,3,0.275195656244149
357,Alaska,594.67,2020,Republican,3,0.4473815127615069
358,Alabama,147480.69,2020,Republican,9,0.3708862516664528
359,Arkansas,34715.47,2020,Republican,6,0.3578756672201685
360,Arizona,2195320.45,2020,Republican,11,0.5015683167912931
361,California,10973015.67,2020,Republican,55,0.6490891136066756
362,Colorado,226240.09,2020,Republican,9,0.5693831949230015
363,Connecticut,642718.96,2020,Republican,7,0.6019504908807785
364,District of Columbia,29514693.56,2020,Republican,3,0.9446695384761944
365,Delaware,985946.13,2020,Republican,3,0.5962674416498447
366,Florida,14043506.3,2020,Republican,29,0.4830524533785844
367,Georgia,4369447.65,2020,Republican,16,0.5011932966290864
368,Hawaii,10000.0,2020,Republican,4,0.6503266464651488
369,Iowa,1324572.38,2020,Republican,6,0.4581673691536295
370,Idaho,104137.85,2020,Republican,4,0.3412285707492213
371,Illinois,2552951.31,2020,Republican,20,0.5865904373280693
372,Indiana,457027.13,2020,Republican,11,0.4180495199255704
373,Kansas,86660.31,2020,Republican,6,0.4250657174436865
374,Kentucky,247978.62,2020,Republican,8,0.3679989709973703
375,Louisiana,16797493.67,2020,Republican,8,0.4053555954370895
376,Massachusetts,9229807.22,2020,Republican,11,0.6711554954014815
377,Maryland,2121216.23,2020,Republican,10,0.6702904704709234
378,Maine,26738.76,2020,Republican,4,0.5467040458200397
379,Michigan,730124.42,2020,Republican,16,0.5141355934440947
380,Minnesota,2710405.18,2020,Republican,10,0.5363951364856667
381,Missouri,1236800.68,2020,Republican,10,0.4216417935559855
382,Mississippi,305215.42,2020,Republican,6,0.4161501417261114
383,Montana,405036.78,2020,Republican,3,0.4160281990795189
384,North Carolina,1004485.67,2020,Republican,15,0.4931581746681328
385,North Dakota,80168.41,2020,Republican,3,0.3278259157710337
386,Nebraska,55700.03,2020,Republican,5,0.4021594775339827
387,New Hampshire,12463179.25,2020,Republican,4,0.5374834772159505
388,New Jersey,14040226.97,2020,Republican,14,0.5807128358679484
389,New Mexico,25668.57,2020,Republican,5,0.5551849015171975
390,Nevada,928312.35,2020,Republican,6,0.512231173400438
391,New York,47304142.05,2020,Republican,29,0.6171683489301224
392,Ohio,3582451.12,2020,Republican,18,0.4592330235229728
393,Oklahoma,708437.8099999999,2020,Republican,7,0.3305996050309349
394,Oregon,10902.78,2020,Republican,7,0.5830715698544173
395,Pennsylvania,9090866.88,2020,Republican,20,0.5058920525934906
396,Rhode Island,16443.84,2020,Republican,4,0.6059935988395926
397,South Carolina,1753872.06,2020,Republican,9,0.440733912504179
398,South Dakota,212.59,2020,Republican,3,0.365652201383185
399,Tennessee,2203093.29,2020,Republican,11,0.3817222962793364
400,Texas,22257814.33,2020,Republican,38,0.4716927876322047
401,Utah,497585.52,2020,Republican,6,0.3930639487814836
402,Virginia,555712208.55,2020,Republican,13,0.551546869993999
403,Vermont,2300.0,2020,Republican,3,0.6829918655280656
404,Washington,990269.5,2020,Republican,12,0.599255031847907
405,Wisconsin,2937454.76,2020,Republican,10,0.5031906326653399
406,West Virginia,154823.03999999998,2020,Republican,5,0.3020146768607797
407,Wyoming,29361.84,2020,Republican,3,0.275195656244149
